%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407436107743954815,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744011874,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744066756,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744119947,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744177449,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744232121,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744331143,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744384955,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744440037,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744494947,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744562300,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744619662,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744686238,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744739835,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744794609,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744849716,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744911049,10.0,0.0,0.0,0.0,0.0,0.0
1407436107744982311,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745056908,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745122047,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745191373,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745261027,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745338583,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745402662,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745443586,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745482222,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745521566,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745562896,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745603041,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745641792,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745680967,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745728839,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745767572,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745807601,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745845920,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745886533,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745927803,10.0,0.0,0.0,0.0,0.0,0.0
1407436107745965496,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746008137,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746046579,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746139441,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746178515,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746216308,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746258364,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746297002,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746333777,10.0,0.0,0.0,0.0,0.0,0.0
